"","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"3064",6896300375,"20140505T000000",580000,2,1,2540,7000,1,0,0,5,8,1320,1220,1942,0,98118,47.5259,-122.261,2160,6000
"3079",3332500265,"20140807T000000",311000,2,1,860,3300,1,0,0,5,6,860,0,1903,0,98118,47.5496,-122.279,1380,4400
"3119",5249802424,"20150417T000000",415000,2,1,670,6000,1,0,0,5,6,670,0,1949,0,98118,47.561,-122.275,1240,5040
"3125",4109600195,"20140718T000000",524000,4,2.75,2310,5000,1.5,0,0,5,8,1480,830,1908,0,98118,47.5502,-122.268,1100,5000
"3169",7129304105,"20140729T000000",285000,4,2,1760,5500,1,0,1,3,7,780,980,1925,2004,98118,47.5183,-122.265,1510,5500
"3362",7135300026,"20141224T000000",160000,2,2,1040,4750,1,0,0,2,6,850,190,1950,0,98118,47.5293,-122.272,1350,5000
"3391",5249801785,"20141205T000000",579000,2,2,1760,7200,1,0,0,5,7,880,880,1946,0,98118,47.5658,-122.276,1760,7200
"3423",3241600015,"20150305T000000",250000,3,1,1130,7800,1,0,0,3,7,1130,0,1952,0,98118,47.5239,-122.288,1170,7800
"3434",8121100015,"20150505T000000",550000,3,1,1070,3713,1,0,0,4,6,1070,0,1917,0,98118,47.5683,-122.285,1290,3960
"3465",4154305290,"20141120T000000",805000,5,3,2350,6480,2,0,3,4,7,1650,700,1924,1962,98118,47.558,-122.266,1840,7200
"3504",5249802460,"20141210T000000",5e+05,3,1,1800,7200,1,0,0,3,7,1020,780,1964,0,98118,47.5616,-122.275,1740,5475
"3507",8121100265,"20140521T000000",635000,4,2.25,2750,6180,1,0,0,4,8,1500,1250,1948,0,98118,47.5691,-122.284,1740,6180
"3585",7129304085,"20140708T000000",330000,3,2.25,2220,4060,1,0,0,3,7,1330,890,1993,0,98118,47.5188,-122.265,1930,5625
"3630",5249804560,"20140818T000000",510000,4,1,1060,7200,1,0,1,3,6,880,180,1925,0,98118,47.5591,-122.268,1910,7200
"3690",1231001110,"20140722T000000",380000,3,1,920,3532,1,0,0,3,6,920,0,1910,0,98118,47.5539,-122.268,1250,4000
"3704",1314300018,"20150324T000000",367500,3,3.25,1400,1343,2,0,0,3,7,1160,240,2005,0,98118,47.5483,-122.277,1400,1326
"3706",1105000296,"20141229T000000",230000,2,1,720,5913,1,0,0,3,6,720,0,1920,0,98118,47.5447,-122.27,1560,6600
"3765",1105000011,"20141209T000000",367777,5,3,2140,5937,1,0,0,3,7,1280,860,1978,0,98118,47.5459,-122.27,1820,6710
"3769",5621100115,"20141218T000000",255000,2,1,740,5000,1,0,0,4,6,740,0,1926,0,98118,47.5298,-122.273,1170,4968
"3783",7243500025,"20140519T000000",411000,4,2.75,2500,5257,2,0,0,3,8,2500,0,1966,0,98118,47.5293,-122.287,1660,5970
"3852",7131300025,"20140521T000000",210000,3,1,1240,4842,1,0,0,4,6,1240,0,1916,0,98118,47.5166,-122.269,1540,5110
"3858",9830200475,"20150323T000000",525000,3,3.25,2200,7440,2,0,0,4,7,1710,490,1947,0,98118,47.5409,-122.268,1260,6765
"3883",7129302095,"20150213T000000",265000,3,1,1122,6554,1.5,0,0,3,5,1122,0,1900,0,98118,47.5135,-122.257,1610,5650
"4013",8121100600,"20150324T000000",525000,3,1,1640,6180,1,0,0,4,7,1640,0,1946,0,98118,47.5682,-122.284,1540,6180
"4034",7129302235,"20150122T000000",325000,3,1.75,2080,6554,1,0,0,3,7,1040,1040,1950,0,98118,47.5135,-122.257,1230,5650
"4049",1105000745,"20150123T000000",227064,3,1.5,1570,10824,2,0,0,3,7,1570,0,1908,0,98118,47.54,-122.275,1530,8125
"4086",6888900115,"20150216T000000",555750,3,1,1060,4880,1,0,0,2,6,910,150,1913,0,98118,47.5545,-122.288,1200,4880
"4087",3031200165,"20140611T000000",262500,3,1.5,1160,8906,1,0,0,3,7,1160,0,1962,0,98118,47.5362,-122.29,1160,8906
"4135",7129302615,"20150304T000000",292000,3,1.75,1090,4500,1.5,0,0,5,8,1090,0,1929,0,98118,47.5157,-122.256,1640,5225
"4196",2724049076,"20140822T000000",470000,4,1,2590,18224,1.5,0,0,4,7,2000,590,1911,0,98118,47.5318,-122.286,1800,7080
"4314",5249803885,"20141215T000000",430000,3,1,1740,4800,1,0,0,3,8,1740,0,1952,0,98118,47.5596,-122.27,1600,4800
"4319",8113100850,"20150410T000000",402500,3,1,1290,4000,1.5,0,0,3,7,1290,0,1926,0,98118,47.5462,-122.277,1160,5040
"4335",5249805090,"20150407T000000",705000,4,1.5,1780,3120,1.5,0,3,3,8,1780,0,1926,0,98118,47.5589,-122.264,1710,3600
"4347",1112000031,"20150318T000000",715000,3,2.25,1990,4977,3,0,0,3,9,1990,0,2012,0,98118,47.5404,-122.268,1280,5000
"4376",3812400854,"20141028T000000",352800,4,2,2080,6360,1,0,0,3,7,1330,750,1960,0,98118,47.5392,-122.278,2080,6741
"4384",3332000195,"20140924T000000",167500,3,1,760,3090,1,0,0,2,5,760,0,1903,0,98118,47.5513,-122.275,1020,5356
"4396",4112100165,"20150317T000000",475000,3,3,2010,2554,2,0,0,3,7,1860,150,2001,0,98118,47.5525,-122.269,1370,5100
"4423",8835900015,"20141212T000000",475000,3,1,1600,7161,1,0,0,3,8,1600,0,1953,0,98118,47.5507,-122.261,1760,8280
"4462",402000115,"20141122T000000",263500,3,1.75,1540,6273,1,0,0,4,6,770,770,1951,0,98118,47.5305,-122.277,1140,5512
"4468",3330500705,"20140515T000000",197500,3,1,980,3090,1.5,0,0,3,6,980,0,1903,0,98118,47.5525,-122.277,980,3090
"4470",3335000025,"20141112T000000",468000,3,2,1570,6300,1,0,0,3,7,820,750,1953,2005,98118,47.5565,-122.275,1510,4281
"4533",7130300785,"20140616T000000",418000,4,3,2360,6250,1,0,2,3,7,1460,900,1960,0,98118,47.512,-122.249,2500,6250
"4551",7165700110,"20150507T000000",280000,3,3,1390,1080,2,0,0,3,7,1140,250,2006,0,98118,47.5325,-122.282,1450,1461
"4575",3336001911,"20140728T000000",319000,2,1,960,4400,1,0,0,4,7,960,0,1951,0,98118,47.5269,-122.264,1520,5000
"4591",2124700015,"20140716T000000",345000,3,1,1120,10176,1,0,0,3,6,920,200,1905,0,98118,47.5235,-122.277,1350,7500
"4717",5249801720,"20141113T000000",415000,3,2.5,1280,5040,2,0,0,4,7,1280,0,1985,0,98118,47.5611,-122.276,1500,5040
"4720",2724049146,"20150317T000000",420000,3,1,1060,6000,1,0,0,3,8,1060,0,1954,0,98118,47.5427,-122.275,1240,7874
"4743",3330501545,"20141201T000000",330000,2,1,950,3090,1,0,0,4,6,950,0,1909,0,98118,47.551,-122.276,1230,4120
"4811",1105000233,"20140906T000000",255000,2,1,940,9330,1,0,0,3,6,940,0,1941,0,98118,47.5445,-122.273,1900,6145
"4830",3330500920,"20141030T000000",339950,2,1,800,3090,1,0,0,4,6,800,0,1925,0,98118,47.5518,-122.277,1400,3090
"4869",6896300380,"20141002T000000",228000,0,1,390,5900,1,0,0,2,4,390,0,1953,0,98118,47.526,-122.261,2170,6000
"4899",4154300275,"20150115T000000",245000,2,1,990,4800,1,0,0,3,6,990,0,1908,0,98118,47.5615,-122.28,1700,5400
"4902",1604600660,"20140512T000000",350000,2,1,910,4500,1.5,0,0,4,7,910,0,1906,0,98118,47.5633,-122.289,1270,3500
"4915",7950302890,"20141230T000000",455000,4,2,2380,4500,1.5,0,0,3,6,1470,910,1926,2014,98118,47.5652,-122.281,1300,4500
"4930",9830200380,"20140917T000000",653000,3,3,3040,5067,3,0,2,3,10,3040,0,1993,0,98118,47.5409,-122.267,1820,5998
"5068",2624049167,"20150423T000000",461550,3,1.5,2090,11895,1,0,0,3,7,1790,300,1954,0,98118,47.5362,-122.267,2180,11072
"5118",9412400185,"20140619T000000",1309500,4,4.5,4750,13912,2,0,2,3,10,3600,1150,2005,0,98118,47.5332,-122.265,3600,22124
"5156",3333002385,"20150417T000000",370000,5,3,2220,5185,2,0,3,3,7,2220,0,2003,0,98118,47.543,-122.29,2340,6316
"5186",3333002790,"20150123T000000",243500,2,1,900,5016,1,0,0,3,6,900,0,1948,0,98118,47.542,-122.282,1420,5184
"5190",3145600250,"20150317T000000",190000,2,1,670,3101,1,0,0,4,6,670,0,1948,0,98118,47.5546,-122.274,1660,4100
"5220",2690600005,"20141001T000000",162500,2,1,760,6141,1,0,0,2,6,760,0,1920,0,98118,47.5469,-122.277,900,4120
"5321",1443500305,"20141013T000000",194990,6,2.5,1560,7144,1,0,0,3,6,1060,500,1913,0,98118,47.5335,-122.272,1300,6232
"5358",3332000091,"20150224T000000",320000,3,1,1190,4120,1,0,0,3,6,1190,0,1929,0,98118,47.5513,-122.272,1360,4635
"5408",7129300595,"20150506T000000",158000,3,2,1090,6090,1,0,0,3,7,940,150,1940,0,98118,47.5118,-122.259,1840,6090
"5419",3334000050,"20140721T000000",425000,2,1,1150,6835,1,0,1,3,7,1010,140,1922,0,98118,47.5567,-122.273,1150,6561
"5435",3723800086,"20140624T000000",665000,6,2.75,2840,8346,1,0,0,5,8,1420,1420,1961,0,98118,47.5518,-122.266,2250,8346
"5491",1443500725,"20150423T000000",280000,3,1,1350,7553,1.5,0,0,3,6,1350,0,1914,0,98118,47.5345,-122.274,1380,7470
"5499",2589300170,"20150324T000000",366350,4,1,1680,5043,1.5,0,0,4,6,1680,0,1911,0,98118,47.5354,-122.273,1560,5765
"5506",1105000780,"20150403T000000",425000,3,1.5,1660,5665,1,0,0,5,7,920,740,1918,0,98118,47.5391,-122.274,1530,5665
"5510",8121100715,"20150209T000000",1086000,3,3,2830,6041,2,0,3,3,8,1840,990,1915,0,98118,47.5694,-122.283,3420,6360
"5537",7950300005,"20140528T000000",681000,3,1,1700,6356,1.5,0,0,3,7,1700,0,1907,0,98118,47.5677,-122.281,2080,6000
"5539",8944550050,"20150508T000000",448500,3,2.5,2080,3920,2,0,0,3,8,2080,0,2010,0,98118,47.5412,-122.286,2110,3710
"5573",1604600095,"20140708T000000",362000,5,3,1810,3000,2,0,0,3,7,1810,0,1998,0,98118,47.5622,-122.291,1670,3000
"5890",1705400244,"20150402T000000",535000,2,1,1390,5346,1,0,0,5,7,960,430,1908,0,98118,47.5567,-122.279,1450,5040
"5926",7950300670,"20150218T000000",450000,2,1,1120,4590,1,0,0,3,7,1120,0,1924,0,98118,47.5663,-122.285,1120,5100
"5972",3723800415,"20141015T000000",425000,2,2,1440,6677,1,0,0,3,7,870,570,1952,0,98118,47.5513,-122.264,2020,7642
"6114",5249800345,"20140619T000000",590300,3,1.5,1470,7200,2,0,0,4,7,1470,0,1907,0,98118,47.5602,-122.28,1530,7200
"6121",7135300275,"20140904T000000",185000,1,1,720,5000,1,0,0,4,6,720,0,1908,0,98118,47.5289,-122.272,1170,5000
"6194",1183000005,"20150408T000000",450000,3,2,1680,4886,2,0,0,3,7,1180,500,1940,0,98118,47.5536,-122.286,1400,4900
"6283",8071000050,"20141113T000000",270000,2,1,1040,5700,1,0,0,3,6,1040,0,1922,0,98118,47.519,-122.26,1380,5700
"6334",2624049169,"20141211T000000",4e+05,3,1.5,1890,6183,1,0,0,3,7,1090,800,1967,0,98118,47.5396,-122.269,1750,6183
"6362",3723800414,"20150320T000000",852000,4,2.5,2620,7328,2,0,0,3,8,2620,0,1983,0,98118,47.5514,-122.263,1670,5080
"6370",3336001946,"20150307T000000",263300,2,1,900,4500,1,0,0,3,7,900,0,1951,0,98118,47.5273,-122.265,1175,5320
"6403",2624049091,"20150313T000000",2903000,5,2.5,3750,91681,2,1,4,3,10,3750,0,1925,0,98118,47.5379,-122.264,3540,24293
"6541",3333500151,"20150507T000000",598200,5,3.75,2980,4635,3,0,0,3,8,2980,0,1997,0,98118,47.5508,-122.268,1100,5150
"6593",6616000010,"20140825T000000",814000,4,2.5,2840,8820,1,0,2,5,8,1420,1420,1952,0,98118,47.5542,-122.265,2310,8750
"6655",7950302210,"20141114T000000",358000,4,2,2200,3060,1,0,0,3,7,1100,1100,1908,2000,98118,47.565,-122.284,1410,5100
"6695",3331001995,"20150123T000000",509990,3,2,1440,4859,2,0,0,2,6,1440,0,1921,0,98118,47.5503,-122.285,1360,4558
"6732",323049148,"20141219T000000",319000,3,2,1640,9234,1,0,0,5,7,1060,580,1967,0,98118,47.5162,-122.274,2230,10354
"6745",4006000509,"20140916T000000",333000,3,1,1620,5040,1,0,0,3,7,1120,500,1964,0,98118,47.5263,-122.286,1790,6178
"6758",4112100101,"20150219T000000",415000,6,2,2500,5200,1,0,0,3,8,1250,1250,1966,0,98118,47.5517,-122.268,1800,5200
"6832",8835900086,"20140902T000000",350000,4,3,3380,16133,1,0,1,3,8,2330,1050,1959,0,98118,47.5501,-122.261,2500,11100
"6833",3333002302,"20150213T000000",428000,4,2.5,1950,5602,1,0,0,5,7,1120,830,1966,0,98118,47.5437,-122.291,2000,6050
"6856",1102000527,"20140902T000000",1437500,4,3.75,4410,9231,3,0,3,3,11,4410,0,2001,0,98118,47.5427,-122.265,2160,6600
"6888",7129301578,"20140521T000000",495000,3,3.5,2380,6250,2,0,3,3,8,1670,710,1997,0,98118,47.5137,-122.252,2540,4010
"6895",6882520050,"20141007T000000",250000,3,1,930,6060,1,0,0,4,6,930,0,1973,0,98118,47.5289,-122.28,1640,6364
"6903",5249801440,"20141216T000000",250000,3,1,1660,7650,1.5,0,0,3,7,1350,310,1910,0,98118,47.5576,-122.277,1750,5760
"6904",5249801440,"20150422T000000",570000,3,1,1660,7650,1.5,0,0,3,7,1350,310,1910,0,98118,47.5576,-122.277,1750,5760
"7025",1102001112,"20150213T000000",802500,4,2.25,1950,7000,1,0,1,3,8,1450,500,1957,0,98118,47.5426,-122.262,1840,6440
"7055",1703900005,"20150501T000000",465000,3,1,1210,4872,1,0,0,4,6,1210,0,1949,0,98118,47.5551,-122.273,1070,4872
"7073",2624049073,"20140729T000000",360000,2,1,780,4200,1,0,0,3,6,780,0,1920,0,98118,47.5381,-122.267,1620,6000
"7154",5249803870,"20140902T000000",530000,4,3,2240,5580,2,0,0,5,7,1830,410,1949,0,98118,47.5598,-122.27,1530,4800
"7157",1604601155,"20141208T000000",180000,3,1,780,3540,1,0,0,2,6,780,0,1920,0,98118,47.565,-122.291,1260,3540
"7196",5649600225,"20150403T000000",457500,3,1,960,4600,1.5,0,0,4,6,960,0,1927,0,98118,47.5553,-122.286,1380,5175
"7198",717000225,"20141028T000000",235000,2,2,870,6450,1,0,0,4,6,740,130,1954,0,98118,47.5354,-122.278,1640,5775
"7215",7139800020,"20141016T000000",369000,3,1.5,2110,5195,1,0,0,3,7,1210,900,1959,0,98118,47.5283,-122.286,1950,5195
"7230",5249802660,"20140730T000000",425000,3,1,980,4800,1.5,0,0,3,7,980,0,1926,0,98118,47.5663,-122.274,2030,7200
"7256",1005000250,"20150130T000000",350000,2,1,840,5551,1,0,0,3,6,840,0,1952,0,98118,47.5354,-122.28,1270,4652
"7318",6607000095,"20150218T000000",286000,4,1.5,1600,5750,2,0,0,4,6,1600,0,1902,0,98118,47.5437,-122.28,1690,5750
"7352",6882510020,"20140715T000000",340000,4,1.75,1800,5210,1,0,0,5,7,1080,720,1979,0,98118,47.5298,-122.28,1870,5365
"7402",3336001470,"20140619T000000",311000,3,1.75,1900,3000,1.5,0,0,5,7,1070,830,1903,0,98118,47.5255,-122.265,1130,6000
"7463",7129301851,"20140923T000000",245000,2,1,1120,5650,1,0,1,3,6,720,400,1904,0,98118,47.5155,-122.255,2160,6480
"7466",2658000373,"20150122T000000",305000,4,2,1610,6250,1,0,0,4,7,1610,0,1952,0,98118,47.5293,-122.271,1310,6000
"7541",4006000571,"20150312T000000",183750,5,2.75,1650,5453,1,0,0,3,7,1650,0,1970,0,98118,47.5293,-122.285,1670,5885
"7591",8121100147,"20140714T000000",390000,3,2.25,1640,2875,2,0,0,3,6,1240,400,1983,0,98118,47.5686,-122.286,1500,3960
"7663",6064800090,"20150507T000000",365000,3,2.25,1960,1985,2,0,0,3,7,1750,210,2003,0,98118,47.5419,-122.289,1760,1985
"7667",1443500905,"20150205T000000",219950,3,1,1020,4960,1.5,0,0,3,6,920,100,1926,0,98118,47.5328,-122.275,1230,7335
"7722",3333000775,"20140903T000000",249900,3,1,1100,5000,1,0,0,3,7,1100,0,1960,0,98118,47.5433,-122.283,1020,5000
"7751",3031200246,"20140711T000000",250000,3,1,920,4429,1,0,0,3,7,920,0,1952,0,98118,47.5369,-122.291,1320,7860
"7772",3904100220,"20141209T000000",276000,2,2,1480,6075,1,0,0,5,7,740,740,1919,0,98118,47.5317,-122.276,1230,6053
"7789",2621660040,"20140629T000000",325000,5,2.75,2130,6222,1,0,0,3,7,1300,830,1991,0,98118,47.5272,-122.276,2130,6222
"7792",1702901485,"20140603T000000",440000,2,1,1230,6600,1,0,0,3,7,1130,100,1906,0,98118,47.5573,-122.282,1260,5060
"7822",3332000530,"20141105T000000",599000,5,3.25,2590,6180,1,0,0,3,7,1330,1260,1960,0,98118,47.551,-122.272,1560,6180
"7824",1102000237,"20150428T000000",712500,4,2.75,2420,11201,1,0,1,3,8,1420,1000,1948,1999,98118,47.5459,-122.265,3170,9385
"7827",1601600195,"20150319T000000",299000,3,1,1510,6200,1,0,0,3,6,1010,500,1955,0,98118,47.5293,-122.274,1710,8623
"7843",7866000158,"20141022T000000",320000,4,3,1820,3120,1,0,0,3,7,1000,820,1997,0,98118,47.5468,-122.274,1600,5001
"7856",3331500940,"20140617T000000",342000,2,1,740,6180,1,0,0,3,6,740,0,1948,0,98118,47.5517,-122.272,1330,4635
"7872",3445400120,"20140725T000000",267500,3,1.5,1390,2153,2,0,0,3,7,1390,0,2001,0,98118,47.5506,-122.29,1100,2617
"7875",9459200110,"20140610T000000",315000,2,1,1740,3622,1,0,0,4,7,950,790,1924,0,98118,47.5541,-122.29,1270,3800
"7935",3812400107,"20150330T000000",378500,4,2,1830,6000,1,0,0,5,7,1070,760,1953,0,98118,47.5453,-122.279,1830,5500
"7972",3331500485,"20150102T000000",350000,2,1,800,5150,1,0,0,4,6,800,0,1949,0,98118,47.5525,-122.274,1280,5150
"8010",3723800097,"20141211T000000",476500,4,1.75,1670,10200,1,0,0,3,7,1390,280,1953,0,98118,47.5524,-122.267,1720,6860
"8014",603001050,"20140723T000000",230000,2,1,1430,4000,1,0,0,3,7,930,500,1949,0,98118,47.5233,-122.284,1110,4000
"8037",3330500925,"20150224T000000",258305,2,1.5,750,2964,1,0,0,5,5,750,0,1919,0,98118,47.5518,-122.277,1350,3090
"8070",3336002215,"20150225T000000",319950,2,1,1240,5500,1.5,0,0,3,6,1240,0,1921,0,98118,47.5257,-122.263,1520,5500
"8104",1443501020,"20141113T000000",163250,2,1,770,8150,1,0,0,3,6,770,0,1951,0,98118,47.5324,-122.275,1140,8550
"8118",5649600266,"20150224T000000",386000,3,1.5,1550,8000,1,0,0,3,6,1330,220,1980,0,98118,47.5536,-122.286,1150,5150
